New Site Code,Asset Number,Catchment, Action Number,Site Number ,Waterway Action Plan ,Landholder,Contact,Action Summary ,Action ,Priority in WAP,Numeric Priority (Based on WAP),Lead Agency,Easting GDA 94 (start of works only),Northing GDA 94  (start of works only), Cost Estimate of Works , Actual Cost of Works , Status ,Inpsected ,Comments,Unnamed: 20,Unnamed: 21
WAP_2025_08_00392,,Reach S1,S1/4/1,Unknown,Spring/Tucker Creek WAP 2006,David Shaw,5354 9227,Provide grade control to control headward erosion. Fence and reinstate native vegetation.,Stability,High,3,,691723,5888816,"$204,600.00",$-,Planning,,Deep incision in right bank tributary and active bed and bank erosion - needs revegetation. Confirm location on map,,
WAP_2025_08_00393,,Reach S1,S1/6,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,"Provide grade control, armoured re-entry chutes and possibly trickle pipes. Fence & revegetate.",Stability,High,3,,690287,5889349,"$35,000.00",$-,Defered,,Deep incision and active bed and bank erosion along diversion banks. Review integrity of upstream dam overflow.,,
WAP_2025_08_00394,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,"Repair fence to exclude stock, revegetate and monitor site.",Fencing & Revegetation,Very High,4,WCMA,692160,5891468,"$30,000.00",$-,Unknown,,Stock impacts causing bed & bank instabilities and degradation of vegetation.,,
WAP_2025_08_00395,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691553,5890455,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00396,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691873,5891088,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00397,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691765,5890870,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00398,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691675,5890769,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00399,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691632,5890683,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00400,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691577,5890559,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00401,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691890,5891173,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00402,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691111,5889752,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00403,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691015,5889663,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00404,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,690964,5889590,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00405,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692118,5890588,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00406,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691936,5890569,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00407,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691936,5890569,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00408,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691784,5890599,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00409,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691765,5890607,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00410,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691743,5890598,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00411,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691620,5890547,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00412,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691589,5890529,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00413,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,TBA,TBA,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00414,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,TBA,TBA,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00415,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,TBA,TBA,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00416,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,TBA,TBA,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00417,,Reach S2,S2,Unknown,Spring/Tucker Creek WAP 2006,Lgtaag,Null,Install structures to encourage increased instream sediment storage.,Stability,Medium,2,,690826,5889477,"$240,000.00",$-,Unknown,,Natural change in grade and sediment deposition zone.,,
WAP_2025_08_00418,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691778,5889726,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00419,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692823,5889170,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00420,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692547,5889229,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00421,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692065,5889746,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00422,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692729,5889177,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00423,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692530,5889181,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00424,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692480,5889282,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00425,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692414,5889316,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00426,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692350,5889443,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00427,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692320,5889549,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00428,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692205,5889690,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00429,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691912,5889780,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00430,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691662,5889726,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00431,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691466,5889770,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00432,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691327,5889747,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00433,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691180,5889677,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00434,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691077,5889671,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00435,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691024,5889663,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00436,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Bernie Boatman,5355 9391,"Provide grade control to prevent further headward erosion, fence and revegetate.",Stability,High,3,WCMA,694190,5889777,"$104,225.00",$-,In progress,,Active erosion head and bed incision d/s track. Done upstream of track,,
WAP_2025_08_00437,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Infrastructure owner/operator to provide erosion mitigation measures.,Stability,High,3,DPI,692876,5888900,"$20,000.00",$-,Refer to Other Agency,,Optic Fibre cable installation has created instigated active erosion along trench line and has high potential to create a large gully. Refer to DPI,,
WAP_2025_08_00438,,Reach S2,S2/1,Unknown,Spring/Tucker Creek WAP 2006,Lgbit,Null,Stabilise trickle pipe outlet and bed & banks.,Stability,Medium,2,,692861,5889147,"$15,000.00",$-,Completed,,An old SCA style diversion bank and gully plug dam has been installed in the upper Valley of S2/1 with the trickle pipe causing bed and bank erosion. Bernie Boatman 08/19 Work Site,,
WAP_2025_08_00439,,Reach S2,S2/1/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Fence & revegetate,Fencing & Revegetation,High,3,WCMA,692580,5889592,"$81,000.00",$-,Unknown,,Lack of vegetation along valley line.,,
WAP_2025_08_00440,,Reach S2,S2/1/1,Unknown,Spring/Tucker Creek WAP 2006,Graeme McConachie,Null,"Provide grade control to prevent further headward erosion, fence and revegetate.",Stability,High,3,WCMA,692650,5889596,"$85,275.00",$-,Defered,,Active bed and bank erosion upstream of the junction with S2/1. Wait for Scott to take over management,,
WAP_2025_08_00441,,Reach S2,S2/1/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,"Finish fencing, underatake revegetation works to consolidate previous works.",Fencing & Revegetation,Very High,4,WCMA,692086,5890104,Landholders responsibility,$-,Unknown,,Existing rock chute is stable but has not been fully fenced out or revegetated.,,
WAP_2025_08_00442,,Reach S2,S2/1/2,Unknown,Spring/Tucker Creek WAP 2006,Dgvive,Null,"Provide grade control to prevent further headward erosion, fence and revegetate.",Stability,Medium,2,,691668,5889830,"$37,900.00",$-,Completed,,Active bed and bank erosion upstream of the junction with S2/1. Bernie Boatman 08/19 Work Site,,
WAP_2025_08_00443,,Reach S2,S2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691613,5889874,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00444,,Reach S2,S2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,692630,5890965,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00445,,Reach S2,S2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,TBA,TBA,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00446,,Reach S2,S2/2,Unknown,Spring/Tucker Creek WAP 2006,Dgvive,Null,"Provide grade control to prevent further headward erosion, fence and revegetate.",Stability,High,3,,691792,5890598,"$94,750.00",$-,Unknown,,Active bed & bank erosion.,,
WAP_2025_08_00447,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Exclude stock access by fencing unprotected areas. Revegetate using trees plus robust and hardy native sedges and rushes.,Fencing & Revegetation,High,3,WCMA,687907,5885680,"$30,200.00",$-,Unknown,,Lack of vegetation and minor bank erosion is exacerbated through this segment of T2 due to uncontrolled stock access.,,
WAP_2025_08_00448,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,"Document planting dates, species, concept of plantings, success of trials etc.",Fencing & Revegetation,High,3,WCMA,692403,5884892,"$2,000.00",$-,Unknown,,Vegetation trials of various grass species.,,
WAP_2025_08_00449,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,"Enhance instream vegetation around and downstream of chute with native grasses & sedge species i.e. carex appressa, lomandra etc.",Fencing & Revegetation,Low,1,WCMA,692008,5885149,"$8,000.00",$-,Unknown,,Bed and banks bare d/s of chute,,
WAP_2025_08_00450,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,"Enhance instream vegetation around and downstream of chute with native grass sedge species i.e. carex oppressa, lomandra etc.",Fencing & Revegetation,Low,1,WCMA,692097,5885125,"$7,000.00",$-,Unknown,,Bed and banks bare d/s of chute,,
WAP_2025_08_00451,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Monitor condition of vegetation annually and provide infill plantings with additional species as necessary.,Monitor,Medium,2,,691417,5885123,"$3,840.00",$-,Unknown,,Vegetation is stressed.,,
WAP_2025_08_00452,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Ogitre,Null,Monitor condition of structure annually.,Monitor,Low,1,,687996,5885835,$200.00,$-,Unknown,,Existing concrete drop structure - stable.,,
WAP_2025_08_00453,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Steven Start,5354 9247,Provide additional grade control to stabilise the waterway and ensure the good efforts of rehabilitation along this waterway are not lost.,Stability,Medium,2,,690728,5885375,"$120,000.00",$-,Completed,,Bed incision is still active within the heavily treed and fenced area. Constructed 10/11,,
WAP_2025_08_00454,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Steven Start,Null,Provide additional grade control to stabilise the waterway and ensure the good efforts of rehabilitation along this waterway are not lost.,Stability,Medium,2,,691560,5885085,"$32,000.00",$-,Completed,,Bed incision is still active within the recently rehabilitated and fenced area.,,
WAP_2025_08_00455,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Investigate establishment of water quality wetlands.,Water Quality,Medium,2,,688828,5885394,"$25,000.00",$-,Unknown,,Channel lost to infill and sedimenet being retained,,
WAP_2025_08_00456,,Reach T1,T1,Unknown,Spring/Tucker Creek WAP 2006,Steven Start,5354 9247,Provide grade control on downstream side of culvert and de-energise stream powers. Revegetate channel.,Stability,Very High,4,,690038,5885222,"$45,000.00",$-,Completed,,Bed incision and bank erosion downstream side of culvert. Constructed 10/11,,
WAP_2025_08_00457,,Reach T1,T1/2,Unknown,Spring/Tucker Creek WAP 2006,Dgvind,Null,Provide additional support and works to help stabilise diversion levee. Monitor condition of levee bank annually.,Monitor,Low,1,,692087,5884925,"$8,000.00",$-,Unknown,,Diversion levee is vulnerable to undermining and failure.,,
WAP_2025_08_00458,,Reach T2,T2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Exclude stock access by fencing unprotected areas. Revegetate using robust and hardy native sedges and rushes.,Fencing & Revegetation,High,3,WCMA,lower reach,lower reach,"$138,000.00",$-,Unknown,,Lack of vegetation and bank erosion is exacerbated through this segment of T2 due to uncontrolled stock access.,,
WAP_2025_08_00459,,Reach T2,T2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Exclude stock access by fencing unprotected areas. Revegetate using robust and hardy native sedges and rushes.,Fencing & Revegetation,High,3,WCMA,691182,5886342,"$2,700.00",$-,Unknown,,Lack of vegetation and bank erosion is exacerbated through this segment of T2 due to uncontrolled stock access.,,
WAP_2025_08_00460,,Reach T2,T2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Exclude stock access by fencing unprotected areas. Revegetate using robust and hardy native sedges and rushes.,Fencing & Revegetation,High,3,WCMA,691476,5886493,"$63,250.00",$-,Unknown,,Lack of vegetation and bank erosion is exacerbated through this segment of T2 due to uncontrolled stock access.,,
WAP_2025_08_00461,,Reach T2,T2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Engage with DSE and other interagency programs to address salinity problems i.e. provide contour revegetation programs.,Revegetation,Very High,4,,Entire Reach,Entire Reach,$-,$-,Unknown,,High salinity throughout entire reach.,,
WAP_2025_08_00462,,Reach T2,T2,Unknown,Spring/Tucker Creek WAP 2006,David Shaw,5354 9227,Provide grade control to arrest bed & bank erosion processes. Engage with DSE to address salinity issues.,Stability,Urgent,5,,690899,5886239,"$135,000.00",$-,Planning,2014-15,Bed is incising in a hyper saline environment.,,
WAP_2025_08_00463,,Reach T2,T2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691473,5886505,"$5,000.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00464,,Reach T2,T2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691344,5886458,"$5,000.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00465,,Reach T2,T2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691292,5886377,"$5,000.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00466,,Reach T2,T2,Unknown,Spring/Tucker Creek WAP 2006,David Shaw,5354 9227,"Provide a series of grade control structures to arrest the insidious bed erosion process and to encourage the stream to infill, stabilise and revegetate.",Stability,High,3,,690028,5886697,"$60,000.00",$-,Planning,2014-15,Numerous nick points observed in the now intersected clay material in the bed of the waterway. Confirm location on map and reapraise,,
WAP_2025_08_00467,,Reach T2,T2/1,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Stabilise headcuts and bank collapse.,Stability,Very High,4,,691065,5886200,"$45,000.00",$-,Unknown,2014-15,Active erosion head in tributary.,,
WAP_2025_08_00468,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,David Shaw,5354 9227,Reconstruct rock chute and vegetate site with native species to secure previous works.,Stability,Urgent,5,WCMA,692042,5886311,"$12,500.00",$-,Completed,,Rock chute is failing.Done 07/08,,
WAP_2025_08_00469,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691859,5886289,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment. Let pile fields go - investigate the use of sodium metasilicate,,
WAP_2025_08_00470,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691805,5886335,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00471,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691755,5886384,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00472,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691697,5886420,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00473,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691609,5886477,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00474,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691480,5886509,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00475,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691377,5886470,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00476,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691348,5886474,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00477,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691292,5886377,"$4,500.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00478,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691616,5886482,"$5,000.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00479,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691859,5886289,"$5,000.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
WAP_2025_08_00480,,Reach T2,T2/2,Unknown,Spring/Tucker Creek WAP 2006,Unknown,Null,Assess integrity of pile field and provide appropriate stabilisation if necessary.,Stability,Very High,4,,691805,5886335,"$5,000.00",$-,Defered,,Pile field is being undermined and requires structural assessment.,,
